Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Joshua Arnold (JARNOLD),S76561198010959721,Audi R8 LMS Evo II 2022,01:34.902000,00:21.647000,00:37.305000,00:35.950000
2,Bradley Busek (BSK),S76561198075812491,BMW M4 GT3 2022,01:35.037000,00:21.410000,00:37.612000,00:36.015000
3,Toma Constantin (TCN),S76561198111779719,Ferrari 488 GT3 Evo,01:35.057000,00:21.815000,00:37.095000,00:36.147000
4,Dan Meyer (PLY),S76561198083139769,Audi R8 LMS Evo II 2022,01:36.465000,00:21.627000,00:38.305000,00:36.532000
5,Ramsey Connely (RAM),S76561198191626179,McLaren 720S GT3 Special,01:36.587000,00:21.945000,00:37.640000,00:37.002000
6,Dominic Duran (DCD),S76561199075879890,Porsche 991 II GT3 R 2019,01:36.942000,00:22.012000,00:38.567000,00:36.362000
7,Samuel Suniga (SUN),S76561198189440837,Porsche 991 II GT3 R 2019,01:36.957000,00:22.162000,00:38.232000,00:36.562000
8,Chris Stefiuk (STE),S76561197982286601,Lexus RC F GT3,01:37.120000,00:21.950000,00:38.410000,00:36.760000
9,Josh Damiani (DAM),S76561198310808524,Aston Martin Vantage V8 2019,01:37.590000,00:21.945000,00:38.007000,00:37.637000
10,Kyle  Turner (PLY),S76561198136324624,McLaren 720S GT3 Special,01:39.260000,00:22.492000,00:38.885000,00:37.882000
11,Aroop Kumar (AKB),S76561198140943424,Lamborghini Huracan Evo 2019,59:59.999000,00:00.000000,00:00.000000,00:00.000000
12,Sniper Nova (SNP),S76561198224030372,Audi R8 LMS Evo II 2022,59:59.999000,00:00.000000,00:00.000000,00:00.000000
13,JOSE GUZMAN (GUZ),S76561198341299184,Honda NSX Evo 2019,59:59.999000,00:00.000000,00:00.000000,00:00.000000
Last updated?2022-05-01T22:31:00+0000
