Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Brooker Quigg (BCQ),S76561198119858927,Honda NSX Evo 2019,01:40.585000,00:30.967000,00:39.802000,00:29.815000
2,Matt Leeman (LEE),S76561198168549962,McLaren 720S GT3 Special,01:40.615000,00:30.922000,00:39.810000,00:29.882000
3,Patrick Rust (RUS),S76561198079842161,Porsche 991 II GT3 R 2019,01:40.927000,00:31.202000,00:39.902000,00:29.822000
4,Samuel Suniga (PLY),S76561198189440837,Porsche 991 II GT3 R 2019,01:40.980000,00:31.275000,00:39.785000,00:29.920000
5,Steve Yoon (HGN),S76561198028203510,Aston Martin Vantage V8 2019,01:41.032000,00:31.037000,00:40.105000,00:29.890000
6,Dominic Duran (DCD),S76561199075879890,Porsche 991 II GT3 R 2019,01:41.055000,00:31.192000,00:39.917000,00:29.945000
7,Grant Klinsing (KLI),S76561197995236815,Audi R8 LMS Evo II 2022,01:41.065000,00:31.000000,00:40.152000,00:29.912000
8,Steve Yoon (HGN),S76561198028203510,Audi R8 LMS Evo II 2022,01:41.215000,00:30.975000,00:40.235000,00:30.005000
9,Brad Merys (BRAD),S76561197995477998,Lamborghini Huracan Evo 2019,01:41.512000,00:31.250000,00:40.117000,00:30.145000
10,Steve Yoon (HGN),S76561198028203510,Bentley Continental GT3 2018,01:41.572000,00:31.312000,00:40.082000,00:30.177000
11,David Funk (FUN),S76561198044419645,Ferrari 488 GT3 Evo,01:41.637000,00:31.480000,00:39.985000,00:30.172000
12,David Funk (FUN),S76561198044419645,Lamborghini Huracan Evo 2019,01:41.730000,00:31.327000,00:40.135000,00:30.267000
13,Bradley Busek (BSK),S76561198075812491,BMW M4 GT3 2022,01:41.740000,00:31.335000,00:40.297000,00:30.107000
14,Patrick Rust (RUS),S76561198079842161,Nissan GT-R Nismo GT3 2018,01:41.807000,00:31.357000,00:40.255000,00:30.195000
