Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Hesham Rimzk (RIM),S76561198097206850,Ferrari 488 GT3 Evo,01:52.922000,00:35.730000,00:40.687000,00:36.505000
2,Nathan Schaefer (LFG),S76561198067053191,McLaren 720S GT3 Special,01:53.077000,00:36.475000,00:39.875000,00:36.727000
3,Tommy Dong (TDO),S76561197978729695,Lexus RC F GT3,01:54.520000,00:36.812000,00:40.482000,00:37.225000
4,Max Sanchez (MAX),S76561198117343010,BMW M4 GT3 2022,01:56.780000,00:37.332000,00:41.032000,00:38.415000
5,John Foguth (JFO),S76561199054010958,McLaren 720S GT3 Special,01:57.302000,00:37.562000,00:41.412000,00:38.327000
6,David Taflevich (PLY),S76561199196705483,BMW M4 GT3 2022,01:57.402000,00:37.277000,00:41.520000,00:38.605000
7,Chris Stefiuk (STE),S76561197982286601,Lamborghini Huracan Evo 2019,01:57.660000,00:37.515000,00:41.420000,00:38.725000
8,Evan Kim (KIM),S76561198142726479,Bentley Continental GT3 2018,01:57.895000,00:37.295000,00:41.565000,00:39.035000
9,Mathieu Beaudin (MBB),S76561197989678833,McLaren 720S GT3 Special,01:58.127000,00:37.355000,00:41.932000,00:38.840000
10,Matt Morrison[TSR] (MOR),S76561198999267373,Audi R8 LMS Evo 2019,01:58.892000,00:37.305000,00:42.010000,00:39.577000
11,Dae Hee Yun (HYD),S76561198052032446,McLaren 720S GT3 Special,01:59.095000,00:37.165000,00:42.157000,00:39.772000
12,Douglas Mitchell (DJM),S76561198316311325,BMW M4 GT3 2022,02:00.882000,00:38.187000,00:42.232000,00:40.462000
13,Dan Meyer (PLY),S76561198083139769,Ferrari 488 GT3 Evo,02:03.445000,00:37.952000,00:44.357000,00:41.135000
14,Jess Osborn (PLY),S76561198003735430,BMW M4 GT3 2022,02:05.610000,00:39.715000,00:44.072000,00:41.822000
15,Tyrell Foster (PLY),S76561198836429146,Porsche 991 II GT3 R 2019,59:59.999000,00:00.000000,00:00.000000,00:00.000000
16,perry isackson (PLY),S76561199218221865,Porsche 991 II GT3 R 2019,59:59.999000,00:00.000000,00:00.000000,00:00.000000
Last updated?2022-03-14T00:22:16+0000
