Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Michael Moening (MMO),S76561198368719311,Aston Martin Vantage V8 2019,01:55.110000,00:55.105000,00:43.075000,00:16.930000
2,Travis Robinson (TBR),S76561198308778510,Lamborghini Huracan Evo 2019,01:55.180000,00:55.207000,00:42.955000,00:17.017000
3,Chris Stefiuk (STE),S76561197982286601,Lamborghini Huracan Evo 2019,01:55.467000,00:55.160000,00:43.357000,00:16.950000
4,Tyler James (TYJ),S76561198395542572,BMW M4 GT3 2022,01:55.472000,00:55.397000,00:43.207000,00:16.867000
5,Chris Hannigan (HAN),S76561198030934123,Bentley Continental GT3 2018,01:55.475000,00:55.482000,00:43.065000,00:16.927000
6,Robert Arendac (ARE),S76561198066480821,Mercedes AMG GT3 2020,01:55.487000,00:55.230000,00:43.250000,00:17.007000
7,Taylor Carter (WTF),S76561199167939644,McLaren 720S GT3 Special,01:55.545000,00:55.427000,00:43.340000,00:16.777000
8,Douglas Mitchell (DJM),S76561198316311325,BMW M4 GT3 2022,01:55.680000,00:55.362000,00:43.257000,00:17.060000
9,J. Taka (TAK),S76561198325564237,BMW M4 GT3 2022,01:55.782000,00:55.310000,00:43.355000,00:17.117000
10,Dominic Duran (PLY),S76561199075879890,McLaren 720S GT3 Special,01:55.797000,00:55.505000,00:43.277000,00:17.015000
11,Russell Allen (ALL),S76561198025185323,Nissan GT-R Nismo GT3 2018,01:55.820000,00:55.387000,00:43.167000,00:17.265000
12,Evan Kim (KIM),S76561198142726479,Bentley Continental GT3 2018,01:56.337000,00:55.502000,00:43.615000,00:17.220000
13,Peter Venhaus (PTR),S76561198126854694,McLaren 720S GT3 Special,01:56.340000,00:55.532000,00:43.637000,00:17.170000
14,Mathieu Beaudin (MBB),S76561197989678833,McLaren 720S GT3 Special,01:56.425000,00:55.532000,00:43.655000,00:17.237000
15,Ethan Mozie | DOR | (MOZ),S76561198168514648,Audi R8 LMS Evo 2019,01:56.482000,00:55.477000,00:43.770000,00:17.235000
16,Colin Matyac (CTM),S76561198125785867,Nissan GT-R Nismo GT3 2018,01:56.512000,00:55.672000,00:43.265000,00:17.575000
17,Jack Fletcher (JSF),S76561198093336627,Bentley Continental GT3 2018,01:56.567000,00:55.970000,00:43.317000,00:17.280000
18,Adam Thomas (TOM),S76561199078097271,Aston Martin Vantage V8 2019,01:56.667000,00:55.970000,00:43.567000,00:17.130000
19,Matthew Schwartz (SCH),S76561198802807574,McLaren 720S GT3 Special,01:56.725000,00:55.797000,00:43.907000,00:17.020000
20,Matt Morrison[TSR] (MOR),S76561198999267373,Audi R8 LMS Evo 2019,01:56.855000,00:56.287000,00:43.405000,00:17.162000
21,Kyle  Turner (KHT),S76561198136324624,McLaren 720S GT3 Special,01:56.970000,00:55.690000,00:43.930000,00:17.350000
