Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Chris Moses (MAD),S76561197981584107,Mercedes AMG GT3 2020,02:00.742000,00:40.312000,00:53.662000,00:26.767000
2,Tyler James (TYJ),S76561198395542572,BMW M4 GT3 2022,02:01.775000,00:40.762000,00:54.055000,00:26.957000
3,Dae Hee Yun (HYD),S76561198052032446,McLaren 720S GT3 Special,02:02.720000,00:41.090000,00:54.425000,00:27.205000
4,Russell Allen (ALL),S76561198025185323,Nissan GT-R Nismo GT3 2018,02:02.745000,00:41.247000,00:54.420000,00:27.077000
5,Kyle  Turner (PLY),S76561198136324624,McLaren 720S GT3 Special,02:03.897000,00:41.240000,00:55.000000,00:27.657000
6,Jess Osborn (PLY),S76561198003735430,BMW M4 GT3 2022,02:03.905000,00:41.522000,00:55.142000,00:27.240000
7,David Taflevich (PLY),S76561199196705483,BMW M4 GT3 2022,02:04.165000,00:41.405000,00:55.482000,00:27.277000
8,Alex Daniel (WTF),S76561199203651950,BMW M4 GT3 2022,02:05.105000,00:41.835000,00:55.425000,00:27.845000
9,colin shea (PLY),S76561198171727959,Ferrari 488 GT3 Evo,02:05.592000,00:42.085000,00:55.210000,00:28.297000
10,Justin Burrage (BUR),S76561198068905956,Aston Martin Vantage V8 2019,02:05.775000,00:42.762000,00:54.925000,00:28.087000
11,Nathan Schaefer (LFG),S76561198067053191,McLaren 720S GT3 Special,02:05.907000,00:42.100000,00:55.682000,00:28.125000
12,Hesham Rimzk (RIM),S76561198097206850,Ferrari 488 GT3 Evo,02:06.435000,00:42.692000,00:55.952000,00:27.790000
13,Dan Meyer (PLY),S76561198083139769,Ferrari 488 GT3 Evo,02:08.707000,00:43.585000,00:56.387000,00:28.735000
14,Jacob Wolfman (WOL),S76561198082434923,Bentley Continental GT3 2018,02:11.292000,00:44.182000,00:58.625000,00:28.485000
Last updated?2022-02-26T00:21:25+0000
