Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
1,Andrew Worden (WOR),S76561198071920312,Audi R8 LMS Evo II 2022,01:27.667000,00:29.840000,00:28.565000,00:29.262000
2,Brooker Quigg (BCQ),S76561198119858927,Porsche 991 II GT3 R 2019,01:27.955000,00:29.670000,00:28.877000,00:29.407000
3,Matt Leeman (LEE),S76561198168549962,McLaren 720S GT3 Special,01:27.955000,00:29.797000,00:28.810000,00:29.347000
4,Andrew Worden (WOR),S76561198071920312,Mercedes AMG GT3 2020,01:27.967000,00:29.882000,00:28.537000,00:29.547000
5,David Funk (FUN),S76561198044419645,Audi R8 LMS Evo II 2022,01:28.005000,00:30.000000,00:28.612000,00:29.392000
6,Diego Paul Fimbres Casas (FIM),S76561198091710398,Honda NSX Evo 2019,01:28.015000,00:30.000000,00:28.480000,00:29.535000
7,Patrick Rust (RUS),S76561198079842161,Porsche 991 II GT3 R 2019,01:28.047000,00:29.812000,00:28.825000,00:29.410000
8,Tyler James (TYJ),S76561198395542572,McLaren 720S GT3 Special,01:28.157000,00:29.822000,00:28.907000,00:29.427000
9,James Reilly (JMR),S76561198262404604,Honda NSX Evo 2019,01:28.332000,00:29.907000,00:29.010000,00:29.415000
10,Joshua Arnold (ARN),S76561198010959721,Audi R8 LMS Evo II 2022,01:28.350000,00:30.202000,00:28.622000,00:29.525000
11,  its morbin time (SUN),S76561198189440837,Audi R8 LMS Evo II 2022,01:28.400000,00:29.932000,00:28.837000,00:29.630000
12,Don Balanger (BEL),S76561197964301195,Mercedes AMG GT3 2020,01:28.487000,00:30.112000,00:28.935000,00:29.440000
13,Travis Robinson (TBR),S76561198308778510,Porsche 991 II GT3 R 2019,01:28.562000,00:30.030000,00:28.902000,00:29.630000
14,Matthew Schwartz (SCH),S76561198802807574,Porsche 991 II GT3 R 2019,01:28.567000,00:29.930000,00:28.950000,00:29.687000
15,Grant Klinsing (KLI),S76561197995236815,BMW M4 GT3 2022,01:28.595000,00:30.047000,00:28.862000,00:29.685000
16,Evan Kim (KIM),S76561198142726479,Bentley Continental GT3 2018,01:28.600000,00:30.187000,00:28.897000,00:29.515000
17,Travis Nordstrom (NOR),S76561198047285126,Honda NSX Evo 2019,01:28.622000,00:30.127000,00:28.997000,00:29.497000
18,Chris Stefiuk (STE),S76561197982286601,Porsche 991 II GT3 R 2019,01:28.640000,00:30.257000,00:28.832000,00:29.550000
19,Dominic Duran (DCD),S76561199075879890,Aston Martin Vantage V8 2019,01:28.715000,00:29.980000,00:28.970000,00:29.765000
20,Danny Durrance (PLY),S76561199278218988,Porsche 991 II GT3 R 2019,01:28.737000,00:30.095000,00:28.827000,00:29.815000
21,Chris Hannigan (HAN),S76561198030934123,Aston Martin Vantage V8 2019,01:28.850000,00:30.040000,00:28.932000,00:29.877000
22,Colin Matyac (MAT),S76561198125785867,Audi R8 LMS Evo II 2022,01:28.865000,00:30.262000,00:29.135000,00:29.467000
23,Taylor Carter (WTF),S76561199167939644,Audi R8 LMS Evo II 2022,01:28.870000,00:30.375000,00:28.867000,00:29.627000
24,Victor Diaz (DIA),S76561198201062870,Audi R8 LMS Evo II 2022,01:28.880000,00:30.017000,00:29.127000,00:29.735000
25,Douglas Mitchell (MIT),S76561198316311325,McLaren 720S GT3 Special,01:28.900000,00:29.967000,00:29.057000,00:29.875000
26,Kemal Kajtezovic (KEM),S76561198048141545,Audi R8 LMS Evo II 2022,01:28.935000,00:30.210000,00:29.270000,00:29.455000
27,Joe Wong (JKW),S76561198031794436,Aston Martin Vantage V8 2019,01:28.937000,00:30.135000,00:29.002000,00:29.800000
28,Andrew Anderson (AND),S76561197993271559,McLaren 720S GT3 Special,01:28.965000,00:30.127000,00:29.137000,00:29.700000
29,Michael Jeffries (MTJ),S76561197971724910,BMW M4 GT3 2022,01:29.005000,00:30.332000,00:29.050000,00:29.622000
30,Karl Fredricksen (FRD),S76561198056129236,Audi R8 LMS Evo II 2022,01:29.090000,00:30.245000,00:29.212000,00:29.632000
31,Fazlee Majeed (FAZ),S76561197960889643,Aston Martin Vantage V8 2019,01:29.102000,00:30.105000,00:29.140000,00:29.857000
32,Jeremy Reeder (PLY),S76561198102245439,BMW M4 GT3 2022,01:29.117000,00:30.125000,00:29.145000,00:29.847000
33,Justin Moffatt (MUF),S76561199044769565,Audi R8 LMS Evo II 2022,01:29.160000,00:30.292000,00:29.030000,00:29.837000
34,Victor Diaz (DIA),S76561198201062870,McLaren 720S GT3 Special,01:29.175000,00:30.185000,00:29.242000,00:29.747000
